Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_A12,1,D:\,,,,RA12,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_positives_B3,1,D:\,,,,RB3,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_positives_A7,1,D:\,,,,RA7,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_C3,1,D:\,,,,RC3,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_B3,1,D:\,,,,RB3,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_negatives_A20,1,D:\,,,,RA20,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_B15,1,D:\,,,,RB15,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_positives_D11,1,D:\,,,,RD11,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_positives_A2,1,D:\,,,,RA2,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_positives_A8,1,D:\,,,,RA8,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_negatives_D22,1,D:\,,,,RD22,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_D12,1,D:\,,,,RD12,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_negatives_A15,1,D:\,,,,RA15,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_A7,1,D:\,,,,RA7,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_D11,1,D:\,,,,RD11,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_B14,1,D:\,,,,RB14,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_DMSO_Progenitor_B8,1,D:\,,,,RB8,1.7,,,,,,,,,,,,
Unknown,20231123_PAF_HB_U3000_FAIMS_uPAC_WishDIA_72SPD_Venetoclax_Blast_negatives_B23,1,D:\,,,,RB23,1.7,,,,,,,,,,,,
